City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,suluru,13.7,80.0167,23.52,85,7,2.49,IN,1735330713
312,alagapuram,11.8871,78.9176,21.78,92,30,1.97,IN,1735330715
313,boone,39.0334,-92.3335,10.47,97,100,3.49,US,1735330716
314,tolanaro,-25.0319,46.9987,27.04,78,40,7.2,MG,1735330570
315,azusa,34.1336,-117.9076,16.6,74,100,2.06,US,1735330718
316,rio grande,-32.035,-52.0986,23.6,63,68,5.97,BR,1735330554
317,zhalantun,48.0,122.7167,-18.22,86,100,3.38,CN,1735330720
318,bantay,17.5847,120.3892,25.09,85,100,5.32,PH,1735330722
319,huanggang,23.677,116.9996,12.85,62,40,2.41,CN,1735330723
320,la paz,-16.5,-68.15,18.99,25,40,4.12,BO,1735330537
321,coquimbo,-29.9533,-71.3436,20.85,61,20,6.17,CL,1735330725
322,suomussalmi,64.8869,28.9078,0.93,89,100,6.42,FI,1735330726
323,port saint john's,-31.6229,29.5448,24.19,91,100,7.05,ZA,1735330728
324,cambria,35.5641,-121.0808,15.03,95,96,1.79,US,1735330729
325,garoowe,8.4054,48.4845,20.88,58,94,6.64,SO,1735330730
326,kalabo,-14.97,22.6814,21.08,86,100,0.54,ZM,1735330731
327,ugbokpo,7.6565,7.8664,27.25,18,64,1.1,NG,1735330732
328,mount isa,-20.7333,139.5,27.87,30,61,5.14,AU,1735330733
329,sinabang,2.4803,96.3801,25.79,87,82,1.84,ID,1735330735
330,togur,58.3631,82.8265,-9.37,93,100,4.69,RU,1735330736
331,nsukka,6.8561,7.3927,25.31,20,87,2.05,NG,1735330737
332,almyros,39.1822,22.7594,8.7,61,40,4.12,GR,1735330738
333,nikolayevsk-on-amure,53.1406,140.73,-25.99,99,90,2.45,RU,1735330739
334,serhiyivka,46.0272,30.3768,2.43,74,45,6.9,UA,1735330740
335,nahiyat ash shinafiyah,31.5874,44.6602,17.79,47,100,2.55,IQ,1735330742
336,cape town,-33.9258,18.4232,21.16,77,20,6.17,ZA,1735330686
337,wenxing,28.6667,112.8833,4.46,38,0,3.29,CN,1735330744
338,inirida,3.8653,-67.9239,27.22,81,100,0.57,CO,1735330745
339,arkhangel'sk,64.5401,40.5433,0.06,86,75,7.0,RU,1735330746
340,conception bay south,47.4999,-52.9981,2.08,97,100,6.04,CA,1735330748
341,alesund,62.4723,6.1549,5.08,92,75,1.03,NO,1735330749
342,pulandian,39.3953,121.9669,-6.13,49,1,1.6,CN,1735330750
343,petauke,-14.2426,31.3253,23.99,61,62,3.72,ZM,1735330751
344,tumpat,6.1978,102.171,25.99,83,20,2.57,MY,1735330752
345,gazli,40.1333,63.45,2.96,64,10,4.21,UZ,1735330753
346,aykhal,66.0,111.5,-28.83,100,96,1.5,RU,1735330755
347,san luis,-33.295,-66.3356,32.07,20,7,8.29,AR,1735330474
348,yemetsk,63.4721,41.7941,-1.71,87,100,4.45,RU,1735330757
349,shamkhor,40.8297,46.0189,2.2,93,100,2.25,AZ,1735330758
350,okha,53.5739,142.9478,-10.37,91,100,9.38,RU,1735330759
351,aasiaat,68.7098,-52.8699,-26.71,100,95,3.51,GL,1735330760
352,minas de marcona,-15.2119,-75.1103,21.16,57,48,7.79,PE,1735330574
353,vardenis,40.1827,45.7311,-1.27,90,100,6.23,AM,1735330763
